Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Carewell Multispeciality Hospital,45,0,0,0,0,2021-05-01 18:03:57
GMC Bhopal - DCH,680,57,0,0,57,2021-05-01 15:50:04
Chirayu Medical College,1100,0,0,0,0,2021-05-01 15:39:50
RKDF Medical College Hospital &amp; Research Centre(CONTRACT),225,17,0,17,0,2021-05-01 17:02:48
Narmada Trauma Centre,40,0,0,0,0,2021-05-01 16:28:35
Siddhanta red cross superspeciality,30,0,0,0,0,2021-05-01 16:17:12
All India Institute of Medical Sciences,500,0,0,0,0,2021-05-01 17:06:35
SILVER LINE,12,0,0,0,0,2021-05-01 18:02:32
BHOPAL MULTISPECIALITY HOSPITAL,13,9,5,2,2,2021-05-01 15:22:33
RAJDEEP Hospital,20,0,0,0,0,2021-05-01 18:10:46
ANANTSHREE HOSPITAL,85,0,0,0,0,2021-05-01 15:56:23
ABM Hospital,60,0,0,0,0,2021-05-01 15:52:52
ARADHNA MATERNITY &amp; KIDNEY,33,0,0,0,0,2021-05-01 15:58:35
"Bansal Hospital, Bhopal - DCH",240,7,0,0,7,2021-05-01 18:14:44
Rudransh Multi Speacility Hospital,19,0,0,0,0,2021-05-01 16:00:02
R R HOSPITAL,9,0,0,0,0,2021-05-01 18:11:28
PALIWAL,60,0,0,0,0,2021-05-01 15:30:32
Bhopal Care Hospital,34,0,0,0,0,2021-05-01 15:19:17
ROSHAN Hospital,30,0,0,0,0,2021-05-01 15:58:48
NAVODAYA_COVID_CENTRE,40,0,0,0,0,2021-05-01 17:50:25
Noble Multispecilaity Hospital,45,0,0,0,0,2021-05-01 18:02:13
LN MEDICAL COLLEGE (CONTRACT),550,0,0,0,0,2021-05-01 14:05:21
JAWAHARLAL Nehru Cancer  Hospital,28,0,0,0,0,2021-05-01 15:40:26
CITI HOSPITAL MP NAGAR,37,0,0,0,0,2021-05-01 15:40:43
Apex Hospital,30,0,0,0,0,2021-05-01 16:26:46
AKSHAY HOSPITAL,23,4,0,0,4,2021-05-01 15:53:59
MAYO HOSPITAL,14,3,0,0,3,2021-05-01 14:58:42
NIRAMAYA,40,0,0,0,0,2021-05-01 15:18:54
HOPE SS HOSPITAL,20,4,3,1,0,2021-05-01 15:52:08
