Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Carewell Multispeciality Hospital,45,0,0,0,0,2021-04-24 09:46:33
GMC Bhopal - DCH,600,37,0,0,37,2021-04-24 08:42:45
Chirayu Medical College,1100,0,0,0,0,2021-04-24 10:15:55
RKDF Medical College Hospital &amp; Research Centre(CONTRACT),225,0,0,0,0,2021-04-24 11:52:33
Narmada Trauma Centre,30,0,0,0,0,2021-04-24 12:17:03
Siddhanta red cross superspeciality,30,0,0,0,0,2021-04-24 09:31:24
All India Institute of Medical Sciences,500,0,0,0,0,2021-04-24 10:28:02
SILVER LINE,7,0,0,0,0,2021-04-24 09:35:11
BHOPAL MULTISPECIALITY HOSPITAL,31,17,10,1,6,2021-04-24 11:29:37
RAJDEEP Hospital,20,0,0,0,0,2021-04-24 09:37:06
ANANTSHREE HOSPITAL,85,7,0,0,7,2021-04-24 09:25:28
ABM Hospital,60,0,0,0,0,2021-04-24 09:14:23
ARADHNA MATERNITY &amp; KIDNEY,33,0,0,0,0,2021-04-24 09:34:34
"Bansal Hospital, Bhopal - DCH",240,20,0,0,20,2021-04-24 09:40:23
Rudransh Multi Speacility Hospital,19,4,3,1,0,2021-04-24 09:57:43
R R HOSPITAL,16,0,0,0,0,2021-04-24 09:35:49
PALIWAL,60,0,0,0,0,2021-04-24 08:08:42
Bhopal Care Hospital,34,0,0,0,0,2021-04-24 10:44:40
ROSHAN Hospital,30,0,0,0,0,2021-04-24 13:00:57
NAVODAYA_COVID_CENTRE,40,0,0,0,0,2021-04-24 09:25:33
Noble Multispecilaity Hospital,45,0,0,0,0,2021-04-24 10:09:46
LN MEDICAL COLLEGE (CONTRACT),550,0,0,0,0,2021-04-24 09:23:19
JAWAHARLAL Nehru Cancer  Hospital,20,5,0,0,5,2021-04-24 12:03:42
CITI HOSPITAL,37,0,0,0,0,2021-04-24 10:41:38
Apex Hospital,30,0,0,0,0,2021-04-24 12:36:06
AKSHAY HOSPITAL,23,4,0,0,4,2021-04-24 08:50:17
MAYO HOSPITAL,14,6,0,2,4,2021-04-24 10:17:40
NIRAMAYA,27,0,0,0,0,2021-04-24 12:02:38
HOPE SS HOSPITAL,20,0,0,0,0,2021-04-24 08:55:17
Smart City Hospital,40,0,0,0,0,2021-04-24 11:53:58
LBS,60,0,0,0,0,2021-04-24 10:55:53
Career Institute of Medical Sciences Bhopal,162,42,0,0,42,2021-04-24 11:50:54
Kasturba Hospital,70,0,0,0,0,2021-04-24 09:52:18
DH - BHOPAL J. P. Hospital,120,15,0,1,14,2021-04-24 10:11:40
LN JK HOSPITAL,480,0,0,0,0,2021-04-24 10:14:43
TRIPTI MULTI SPECIALTY &amp; TRAUMA CENTRE,20,0,0,0,0,2021-04-24 09:47:25
Mahaveer Institute of medical Science and  Research,250,200,0,0,200,2021-04-24 09:45:41
NATIONAL HOSPITAL,40,0,0,0,0,2021-04-24 06:16:33
SAHARA Hospital,19,0,0,0,0,2021-04-24 10:39:15
MILITARY HOSPITAL,82,1,0,0,1,2021-04-24 10:16:17
Nirmal Prem MUlti H.,29,2,0,2,0,2021-04-24 09:38:23
Om Hospital,35,9,0,0,9,2021-04-24 09:33:56
Peoples General Hospital Pvt. Ltd.,50,2,0,0,2,2021-04-24 13:10:49
BMHRC,35,5,0,0,5,2021-04-24 10:59:45
NAVJEEVAN,7,0,0,0,0,2021-04-24 12:55:39
Chaudhary Hospital,50,8,0,0,8,2021-04-24 08:20:17
People Medical College (Contract),300,30,0,30,0,2021-04-24 09:41:34
NEURON TRAMA CENTER &amp; MULTISPECIALITY HOSPITAL,26,1,0,0,1,2021-04-24 09:14:20
BHAGVATI GAUTAM HOSPITAL,11,1,0,0,1,2021-04-24 10:47:13
GAYTRI MULTI SPECIALITY HOSPITAL,24,0,0,0,0,2021-04-24 08:33:10
Care Multi Speciality,18,0,0,0,0,2021-04-24 04:26:14
RAILWAY HOSPITAL,50,0,0,0,0,2021-04-24 09:52:19
MOUNT HOSPITAL,30,1,0,0,1,2021-04-24 12:47:31
Ayushmaan Bharat Hospital,20,3,0,3,0,2021-04-24 12:50:13
V CARE CHILDREN HOSPITL,13,2,0,0,2,2021-04-24 09:19:35
AYUSH CCC,100,80,0,0,80,2021-04-24 12:37:37
Miracles Hospital,40,0,0,0,0,2021-04-24 09:07:52
Aadhar hospital,24,0,0,0,0,2021-04-24 09:38:14
Parul Hospital,20,0,0,0,0,2021-04-24 09:25:39
Divyanka Children Hospital,14,7,0,4,3,2021-04-24 09:30:07
Arera Trauma &amp; Critical Care Hospital,14,0,0,0,0,2021-04-24 09:22:34
Nagpur Neuro &amp; Trauma Hospital,30,14,0,0,14,2021-04-24 09:40:04
Sakshi Hospital,8,0,0,0,0,2021-04-24 09:05:14
CVS Apollo Hospital,22,10,5,5,0,2021-04-24 10:52:29
KAROND MULTI SPECIALTY HOSPITAL,37,28,7,5,16,2021-04-24 10:49:23
Lahoti Hospital &amp; Research Center,30,0,0,0,0,2021-04-24 10:26:19
AAROGYA NIDHI HOSPITAL,38,23,15,3,5,2021-04-24 12:01:15
ATAL MEMORIAL CANCER CARE HOSPITAL,15,0,0,0,0,2021-04-24 11:33:40
CHARAK HOSPITAL AND RESEARCH CENTRE A UNIT OF MRITYUNJAY HEALTH CARE PVT LTD,32,1,0,0,1,2021-04-24 09:58:37
PRABHATSHRI HOSPITAL,16,0,0,0,0,2021-04-24 10:39:49
GOODWILL HOSPITAL,36,6,0,5,1,2021-04-24 09:30:47
ASTHA HOSPITAL,23,0,0,0,0,2021-04-24 09:12:07
DULAR  HOSPITAL,10,0,0,0,0,2021-04-24 09:54:52
NEW ERA SUPERSPECIALITY,30,0,0,0,0,2021-04-24 09:18:28
ASHA NIKETAN  HOSPITAL,14,0,0,0,0,2021-04-24 10:30:30
Promise Children and General Hospital,6,0,0,0,0,2021-04-24 09:36:31
AYUSHMAN MULTICARE HOSPITAL BHANPUR,20,4,0,1,3,2021-04-24 08:27:15
MONA MULTISPECIALITY HOSPITAL,16,7,3,0,4,2021-04-24 12:24:38
JANKI HOSPITAL,15,0,0,0,0,2021-04-24 10:29:07
Rajabhoj Hospital,13,9,6,3,0,2021-04-24 10:57:47
A K Hospital,8,0,0,0,0,2021-04-24 12:39:21
Jeevandaan Multi Specialty Hospital,10,0,0,0,0,2021-04-24 09:50:45
Chirag Children Hospital,50,0,0,0,0,2021-04-24 09:25:16
RAMSAROJ  HOSPITAL,6,0,0,0,0,2021-04-24 10:00:13
Swastik hospital bhopal,30,17,7,10,0,2021-04-24 08:52:02
Nirvana Multispecialty Hospital,30,11,0,11,0,2021-04-24 08:32:15
SAI HOSPITAL &amp; TRAUMA CENTRE,20,1,0,1,0,2021-04-24 09:33:55
R A Stone Surgical Care Hospital,9,0,0,0,0,2021-04-24 12:55:52
Central Hospital,10,0,0,0,0,2021-04-24 11:00:48
Maheshwari Hospital,16,6,0,0,6,2021-04-24 07:08:46
Lotus Hospital,29,0,0,0,0,2021-04-24 09:36:28
NARMADA CCC NAROHNA ACADEMY,150,66,0,0,66,2021-04-24 09:08:25
PBGM SUPERSPECILITY,100,77,11,0,66,2021-04-24 10:02:02
Pushpanjali Superspecialty Hospital,40,0,0,0,0,2021-04-24 12:05:57
Jainamshree Multispeciality Hospital,12,0,0,0,0,2021-04-24 12:29:03
Deepshikha Multispecialty Hospital,20,3,1,0,2,2021-04-24 08:30:52
BHOPAL FRACTURE HOSPITAL,50,0,0,0,0,2021-04-24 10:38:13
Indian Red Cross Society Hospital,26,0,0,0,0,2021-04-24 09:31:29
Green City Hospital,50,0,0,0,0,2021-04-24 09:12:55
APPLE  CHILDREN HOSPITAL,20,6,0,1,5,2021-04-24 08:09:54
MUSKAN CHILDREN &amp; GENERAL HOSPITAL,16,0,0,0,0,2021-04-24 12:22:56
MAHAVEER MULTISPECIALITY HOSPITAL,25,0,0,0,0,2021-04-24 09:32:24
Total,7362,798,68,89,641,
