Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Carewell Multispeciality Hospital,45,0,0,0,0,2021-04-24 13:51:48
GMC Bhopal - DCH,600,37,0,0,37,2021-04-24 13:36:06
Chirayu Medical College,1100,0,0,0,0,2021-04-24 10:15:55
RKDF Medical College Hospital &amp; Research Centre(CONTRACT),225,0,0,0,0,2021-04-24 15:59:17
Narmada Trauma Centre,30,0,0,0,0,2021-04-24 16:21:03
Siddhanta red cross superspeciality,30,0,0,0,0,2021-04-24 09:31:24
All India Institute of Medical Sciences,500,0,0,0,0,2021-04-24 14:18:26
SILVER LINE,7,0,0,0,0,2021-04-24 14:16:47
BHOPAL MULTISPECIALITY HOSPITAL,13,0,0,0,2,2021-04-24 11:29:37
RAJDEEP Hospital,20,0,0,0,0,2021-04-24 13:43:36
ANANTSHREE HOSPITAL,85,4,0,0,4,2021-04-24 14:04:28
ABM Hospital,60,0,0,0,0,2021-04-24 09:14:23
ARADHNA MATERNITY &amp; KIDNEY,33,0,0,0,0,2021-04-24 09:34:34
"Bansal Hospital, Bhopal - DCH",240,20,0,0,20,2021-04-24 13:37:44
Rudransh Multi Speacility Hospital,19,5,4,1,0,2021-04-24 14:14:42
R R HOSPITAL,16,0,0,0,0,2021-04-24 14:21:05
PALIWAL,60,0,0,0,0,2021-04-24 17:02:14
Bhopal Care Hospital,34,0,0,0,0,2021-04-24 16:38:55
ROSHAN Hospital,30,0,0,0,0,2021-04-24 15:25:46
NAVODAYA_COVID_CENTRE,40,0,0,0,0,2021-04-24 15:30:30
Noble Multispecilaity Hospital,45,0,0,0,0,2021-04-24 16:35:26
LN MEDICAL COLLEGE (CONTRACT),550,0,0,0,0,2021-04-24 13:33:27
JAWAHARLAL Nehru Cancer  Hospital,20,2,0,0,2,2021-04-24 15:36:21
CITI HOSPITAL,37,0,0,0,0,2021-04-24 10:41:38
Apex Hospital,30,0,0,0,0,2021-04-24 17:06:13
AKSHAY HOSPITAL,23,4,0,0,4,2021-04-24 13:42:28
MAYO HOSPITAL,14,6,0,2,4,2021-04-24 10:17:40
NIRAMAYA,27,0,0,0,0,2021-04-24 12:02:38
HOPE SS HOSPITAL,20,0,0,0,0,2021-04-24 15:42:59
Smart City Hospital,40,0,0,0,0,2021-04-24 17:14:32
LBS,60,0,0,0,0,2021-04-24 14:08:37
Career Institute of Medical Sciences Bhopal,162,62,0,0,62,2021-04-24 16:49:01
Kasturba Hospital,70,0,0,0,0,2021-04-24 15:40:47
DH - BHOPAL J. P. Hospital,120,15,0,1,14,2021-04-24 10:11:40
LN JK HOSPITAL,480,0,0,0,0,2021-04-24 13:34:00
TRIPTI MULTI SPECIALTY &amp; TRAUMA CENTRE,20,1,0,1,0,2021-04-24 16:43:38
Mahaveer Institute of medical Science and  Research,250,200,0,0,200,2021-04-24 09:45:41
NATIONAL HOSPITAL,40,0,0,0,0,2021-04-24 13:43:05
SAHARA Hospital,19,0,0,0,0,2021-04-24 13:57:43
MILITARY HOSPITAL,82,1,0,0,1,2021-04-24 13:38:49
Nirmal Prem MUlti H.,29,2,0,2,0,2021-04-24 09:38:23
Om Hospital,35,9,0,0,9,2021-04-24 13:44:09
Peoples General Hospital Pvt. Ltd.,50,2,0,0,2,2021-04-24 16:35:33
BMHRC,35,0,0,0,0,2021-04-24 15:03:57
NAVJEEVAN,7,0,0,0,0,2021-04-24 12:55:39
Chaudhary Hospital,50,4,0,0,4,2021-04-24 17:02:27
People Medical College (Contract),300,30,0,30,0,2021-04-24 13:35:30
NEURON TRAMA CENTER &amp; MULTISPECIALITY HOSPITAL,26,1,0,0,1,2021-04-24 09:14:20
BHAGVATI GAUTAM HOSPITAL,11,1,0,0,1,2021-04-24 16:39:42
GAYTRI MULTI SPECIALITY HOSPITAL,24,0,0,0,0,2021-04-24 16:05:55
Care Multi Speciality,18,0,0,0,0,2021-04-24 13:52:28
RAILWAY HOSPITAL,50,0,0,0,0,2021-04-24 09:52:19
MOUNT HOSPITAL,30,2,0,0,2,2021-04-24 15:26:09
Ayushmaan Bharat Hospital,20,3,0,3,0,2021-04-24 13:39:26
V CARE CHILDREN HOSPITL,13,3,0,1,2,2021-04-24 17:10:56
AYUSH CCC,100,80,0,0,80,2021-04-24 15:48:43
Miracles Hospital,40,0,0,0,0,2021-04-24 13:41:05
Aadhar hospital,24,0,0,0,0,2021-04-24 13:31:58
Parul Hospital,20,0,0,0,0,2021-04-24 16:47:31
Divyanka Children Hospital,14,7,0,4,3,2021-04-24 09:30:07
Arera Trauma &amp; Critical Care Hospital,14,0,0,0,0,2021-04-24 13:40:31
Nagpur Neuro &amp; Trauma Hospital,30,13,0,0,13,2021-04-24 13:42:15
Sakshi Hospital,8,0,0,0,0,2021-04-24 09:05:14
CVS Apollo Hospital,22,10,5,5,0,2021-04-24 10:52:29
KAROND MULTI SPECIALTY HOSPITAL,37,28,7,5,16,2021-04-24 13:38:14
Lahoti Hospital &amp; Research Center,30,0,0,0,0,2021-04-24 10:26:19
AAROGYA NIDHI HOSPITAL,38,23,15,3,5,2021-04-24 12:01:15
ATAL MEMORIAL CANCER CARE HOSPITAL,15,0,0,0,0,2021-04-24 14:23:03
CHARAK HOSPITAL AND RESEARCH CENTRE A UNIT OF MRITYUNJAY HEALTH CARE PVT LTD,32,1,0,0,1,2021-04-24 09:58:37
PRABHATSHRI HOSPITAL,16,0,0,0,0,2021-04-24 14:07:37
GOODWILL HOSPITAL,36,6,0,5,1,2021-04-24 09:30:47
ASTHA HOSPITAL,23,0,0,0,0,2021-04-24 13:40:05
DULAR  HOSPITAL,10,0,0,0,0,2021-04-24 13:53:14
NEW ERA SUPERSPECIALITY,30,0,0,0,0,2021-04-24 13:36:36
ASHA NIKETAN  HOSPITAL,14,0,0,0,0,2021-04-24 10:30:30
Promise Children and General Hospital,6,0,0,0,0,2021-04-24 09:36:31
AYUSHMAN MULTICARE HOSPITAL BHANPUR,20,4,0,1,3,2021-04-24 08:27:15
MONA MULTISPECIALITY HOSPITAL,16,7,3,0,4,2021-04-24 12:24:38
JANKI HOSPITAL,15,0,0,0,0,2021-04-24 13:46:02
Rajabhoj Hospital,13,9,6,3,0,2021-04-24 10:57:47
A K Hospital,8,0,0,0,0,2021-04-24 13:30:14
Jeevandaan Multi Specialty Hospital,10,0,0,0,0,2021-04-24 13:44:41
Chirag Children Hospital,50,0,0,0,0,2021-04-24 09:25:16
RAMSAROJ  HOSPITAL,6,0,0,0,0,2021-04-24 10:00:13
Swastik hospital bhopal,30,17,7,10,0,2021-04-24 08:52:02
Nirvana Multispecialty Hospital,30,11,0,11,0,2021-04-24 08:32:15
SAI HOSPITAL &amp; TRAUMA CENTRE,20,1,0,1,0,2021-04-24 09:33:55
R A Stone Surgical Care Hospital,9,0,0,0,0,2021-04-24 14:16:18
Central Hospital,10,0,0,0,0,2021-04-24 15:05:08
Maheshwari Hospital,16,4,0,0,4,2021-04-24 15:16:24
Lotus Hospital,29,0,0,0,0,2021-04-24 15:43:34
NARMADA CCC NAROHNA ACADEMY,150,66,0,0,66,2021-04-24 13:46:35
PBGM SUPERSPECILITY,100,77,11,0,66,2021-04-24 10:02:02
Pushpanjali Superspecialty Hospital,40,0,0,0,0,2021-04-24 12:05:57
Jainamshree Multispeciality Hospital,12,0,0,0,0,2021-04-24 14:31:50
Deepshikha Multispecialty Hospital,20,3,1,0,2,2021-04-24 08:30:52
BHOPAL FRACTURE HOSPITAL,50,0,0,0,0,2021-04-24 14:17:19
Indian Red Cross Society Hospital,26,0,0,0,0,2021-04-24 09:31:29
Green City Hospital,50,0,0,0,0,2021-04-24 09:12:55
APPLE  CHILDREN HOSPITAL,20,6,0,1,5,2021-04-24 13:48:26
MUSKAN CHILDREN &amp; GENERAL HOSPITAL,16,0,0,0,0,2021-04-24 13:49:52
MAHAVEER MULTISPECIALITY HOSPITAL,25,0,0,0,0,2021-04-24 09:32:24
Total,7344,787,59,90,640,
