Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Carewell Multispeciality Hospital,45,0,0,0,0,2021-04-24 18:43:41
GMC Bhopal - DCH,600,41,0,0,41,2021-04-24 19:56:25
Chirayu Medical College,1100,0,0,0,0,2021-04-24 18:56:06
RKDF Medical College Hospital &amp; Research Centre(CONTRACT),225,0,0,0,0,2021-04-24 20:13:02
Narmada Trauma Centre,30,0,0,0,0,2021-04-24 20:55:00
Siddhanta red cross superspeciality,30,0,0,0,0,2021-04-24 19:12:10
All India Institute of Medical Sciences,500,0,0,0,0,2021-04-24 19:06:50
SILVER LINE,7,0,0,0,0,2021-04-24 18:02:46
BHOPAL MULTISPECIALITY HOSPITAL,13,5,3,0,2,2021-04-24 18:22:09
RAJDEEP Hospital,20,0,0,0,0,2021-04-24 20:52:44
ANANTSHREE HOSPITAL,85,9,0,3,6,2021-04-24 19:27:35
ABM Hospital,60,0,0,0,0,2021-04-24 19:02:26
ARADHNA MATERNITY &amp; KIDNEY,33,0,0,0,0,2021-04-24 18:34:04
"Bansal Hospital, Bhopal - DCH",240,15,0,0,15,2021-04-24 19:41:15
Rudransh Multi Speacility Hospital,19,4,3,1,0,2021-04-24 19:32:04
R R HOSPITAL,16,0,0,0,0,2021-04-24 18:21:14
PALIWAL,60,0,0,0,0,2021-04-24 20:02:59
Bhopal Care Hospital,34,0,0,0,0,2021-04-24 19:17:14
ROSHAN Hospital,30,0,0,0,0,2021-04-24 18:34:15
NAVODAYA_COVID_CENTRE,40,0,0,0,0,2021-04-24 19:16:26
Noble Multispecilaity Hospital,45,0,0,0,0,2021-04-24 20:42:31
LN MEDICAL COLLEGE (CONTRACT),550,0,0,0,0,2021-04-24 19:27:27
JAWAHARLAL Nehru Cancer  Hospital,20,2,0,0,2,2021-04-24 19:29:19
CITI HOSPITAL MP NAGAR,37,0,0,0,0,2021-04-24 19:54:45
Apex Hospital,30,0,0,0,0,2021-04-24 20:25:00
AKSHAY HOSPITAL,23,4,0,0,4,2021-04-24 19:13:31
MAYO HOSPITAL,14,5,0,1,4,2021-04-24 19:47:57
NIRAMAYA,27,0,0,0,0,2021-04-24 18:52:33
HOPE SS HOSPITAL,20,3,2,1,0,2021-04-24 19:44:03
Smart City Hospital,40,0,0,0,0,2021-04-24 19:24:39
LBS,60,0,0,0,0,2021-04-24 19:42:44
Career Institute of Medical Sciences Bhopal,162,57,0,0,57,2021-04-24 19:30:36
Kasturba Hospital,70,0,0,0,0,2021-04-24 21:13:26
DH - BHOPAL J. P. Hospital,120,14,0,0,14,2021-04-24 20:38:31
LN JK HOSPITAL,480,0,0,0,0,2021-04-24 19:27:55
TRIPTI MULTI SPECIALTY &amp; TRAUMA CENTRE,20,3,0,3,0,2021-04-24 18:46:15
Mahaveer Institute of medical Science and  Research,250,195,0,0,195,2021-04-24 20:04:54
NATIONAL HOSPITAL,40,0,0,0,0,2021-04-24 19:48:56
SAHARA Hospital,19,0,0,0,0,2021-04-24 18:47:36
MILITARY HOSPITAL,82,0,0,0,0,2021-04-24 18:56:11
Nirmal Prem MUlti H.,29,0,0,0,0,2021-04-24 18:57:16
Om Hospital,35,13,0,0,13,2021-04-24 20:06:30
Peoples General Hospital Pvt. Ltd.,50,2,0,0,2,2021-04-24 18:11:43
BMHRC,35,2,0,0,2,2021-04-24 18:36:34
NAVJEEVAN,7,0,0,0,0,2021-04-24 18:22:30
Chaudhary Hospital,50,4,0,0,4,2021-04-24 20:20:13
People Medical College (Contract),300,20,0,20,0,2021-04-24 18:35:55
NEURON TRAMA CENTER &amp; MULTISPECIALITY HOSPITAL,26,0,0,0,0,2021-04-24 20:16:08
BHAGVATI GAUTAM HOSPITAL,11,1,0,0,1,2021-04-24 18:43:18
GAYTRI MULTI SPECIALITY HOSPITAL,24,0,0,0,0,2021-04-24 18:59:03
Care Multi Speciality,18,0,0,0,0,2021-04-24 18:06:16
RAILWAY HOSPITAL,50,0,0,0,0,2021-04-24 19:03:04
MOUNT HOSPITAL,30,2,0,0,2,2021-04-24 19:44:40
Ayushmaan Bharat Hospital,20,5,0,1,4,2021-04-24 19:00:31
V CARE CHILDREN HOSPITL,13,3,0,0,3,2021-04-24 20:41:02
AYUSH CCC,100,72,0,0,72,2021-04-24 19:25:00
Miracles Hospital,40,0,0,0,0,2021-04-24 18:53:34
Aadhar hospital,24,0,0,0,0,2021-04-24 20:19:34
Parul Hospital,20,3,1,2,0,2021-04-24 20:10:52
Divyanka Children Hospital,14,5,0,3,2,2021-04-24 18:53:48
Arera Trauma &amp; Critical Care Hospital,14,0,0,0,0,2021-04-24 20:05:55
Nagpur Neuro &amp; Trauma Hospital,30,12,0,0,12,2021-04-24 19:03:51
Sakshi Hospital,8,0,0,0,0,2021-04-24 18:58:58
CVS Apollo Hospital,22,10,5,5,0,2021-04-24 19:53:30
KAROND MULTI SPECIALTY HOSPITAL,37,28,7,5,16,2021-04-24 18:40:41
Lahoti Hospital &amp; Research Center,30,0,0,0,0,2021-04-24 20:03:15
AAROGYA NIDHI HOSPITAL,38,23,15,3,5,2021-04-24 20:34:57
ATAL MEMORIAL CANCER CARE HOSPITAL,15,0,0,0,0,2021-04-24 20:18:47
CHARAK HOSPITAL AND RESEARCH CENTRE A UNIT OF MRITYUNJAY HEALTH CARE PVT LTD,32,0,0,0,0,2021-04-24 20:04:39
PRABHATSHRI HOSPITAL,16,0,0,0,0,2021-04-24 19:05:15
GOODWILL HOSPITAL,36,15,0,12,3,2021-04-24 20:26:49
ASTHA HOSPITAL,23,0,0,0,0,2021-04-24 18:33:29
DULAR  HOSPITAL,10,0,0,0,0,2021-04-24 19:54:27
NEW ERA SUPERSPECIALITY,30,0,0,0,0,2021-04-24 18:49:16
ASHA NIKETAN  HOSPITAL,14,0,0,0,0,2021-04-24 18:58:07
Promise Children and General Hospital,6,0,0,0,0,2021-04-24 20:17:38
AYUSHMAN MULTICARE HOSPITAL BHANPUR,20,4,0,1,3,2021-04-24 19:47:36
MONA MULTISPECIALITY HOSPITAL,16,6,2,0,4,2021-04-24 19:25:52
JANKI HOSPITAL,15,0,0,0,0,2021-04-24 18:59:43
Rajabhoj Hospital,13,3,0,3,0,2021-04-24 18:26:04
A K Hospital,8,0,0,0,0,2021-04-24 18:43:24
Jeevandaan Multi Specialty Hospital,10,0,0,0,0,2021-04-24 19:06:09
Chirag Children Hospital,50,0,0,0,0,2021-04-24 19:50:41
RAMSAROJ  HOSPITAL,6,0,0,0,0,2021-04-24 18:31:24
Swastik hospital bhopal,30,16,6,10,0,2021-04-24 20:34:05
Nirvana Multispecialty Hospital,30,0,0,0,0,2021-04-24 20:36:45
SAI HOSPITAL &amp; TRAUMA CENTRE,20,1,0,1,0,2021-04-24 20:32:19
R A Stone Surgical Care Hospital,9,0,0,0,0,2021-04-24 18:13:30
Central Hospital,10,0,0,0,0,2021-04-24 20:38:49
Maheshwari Hospital,16,4,0,0,4,2021-04-24 18:24:54
Lotus Hospital,29,0,0,0,0,2021-04-24 20:25:33
NARMADA CCC NAROHNA ACADEMY,150,66,0,0,66,2021-04-24 19:55:28
PBGM SUPERSPECILITY,100,77,11,0,66,2021-04-24 19:11:27
Pushpanjali Superspecialty Hospital,40,5,0,0,5,2021-04-24 18:49:52
Jainamshree Multispeciality Hospital,12,0,0,0,0,2021-04-24 19:55:33
Deepshikha Multispecialty Hospital,20,6,1,3,2,2021-04-24 20:40:12
BHOPAL FRACTURE HOSPITAL,50,0,0,0,0,2021-04-24 20:03:14
Indian Red Cross Society Hospital,26,0,0,0,0,2021-04-24 20:37:38
Green City Hospital,50,0,0,0,0,2021-04-24 19:53:03
APPLE  CHILDREN HOSPITAL,20,8,0,1,7,2021-04-24 19:57:50
MUSKAN CHILDREN &amp; GENERAL HOSPITAL,16,0,0,0,0,2021-04-24 20:20:39
MAHAVEER MULTISPECIALITY HOSPITAL,25,1,0,1,0,2021-04-24 19:29:00
Citi Multispecialty Hospital,50,1,1,0,0,2021-04-24 19:22:59
Kishnani Hospital,20,20,4,8,8,2021-04-24 20:30:00
Total,7414,795,61,88,646,
