Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Carewell Multispeciality Hospital,45,0,0,0,0,2021-04-25 11:16:10
GMC Bhopal - DCH,600,16,0,0,16,2021-04-25 09:09:15
Chirayu Medical College,1100,0,0,0,0,2021-04-25 11:06:54
RKDF Medical College Hospital &amp; Research Centre(CONTRACT),225,0,0,0,0,2021-04-25 09:06:58
Narmada Trauma Centre,30,0,0,0,0,2021-04-25 09:56:01
Siddhanta red cross superspeciality,30,0,0,0,0,2021-04-25 09:56:07
All India Institute of Medical Sciences,500,0,0,0,0,2021-04-25 08:04:53
SILVER LINE,7,0,0,0,0,2021-04-25 10:05:28
BHOPAL MULTISPECIALITY HOSPITAL,13,5,3,0,2,2021-04-25 10:01:00
RAJDEEP Hospital,20,0,0,0,0,2021-04-25 08:34:40
ANANTSHREE HOSPITAL,85,7,0,0,7,2021-04-25 10:11:09
ABM Hospital,60,0,0,0,0,2021-04-25 11:26:02
ARADHNA MATERNITY &amp; KIDNEY,33,0,0,0,0,2021-04-25 10:25:50
"Bansal Hospital, Bhopal - DCH",240,15,0,0,15,2021-04-25 09:45:16
Rudransh Multi Speacility Hospital,19,4,3,1,0,2021-04-25 09:57:35
R R HOSPITAL,16,0,0,0,0,2021-04-25 09:11:55
PALIWAL,60,0,0,0,0,2021-04-25 09:28:15
Bhopal Care Hospital,34,0,0,0,0,2021-04-25 11:12:15
ROSHAN Hospital,30,0,0,0,0,2021-04-25 11:02:30
NAVODAYA_COVID_CENTRE,40,0,0,0,0,2021-04-25 10:47:53
Noble Multispecilaity Hospital,45,0,0,0,0,2021-04-25 08:18:34
LN MEDICAL COLLEGE (CONTRACT),550,0,0,0,0,2021-04-25 11:13:05
JAWAHARLAL Nehru Cancer  Hospital,20,0,0,0,0,2021-04-25 10:44:00
CITI HOSPITAL MP NAGAR,37,0,0,0,0,2021-04-25 09:09:10
Apex Hospital,30,0,0,0,0,2021-04-25 11:15:19
AKSHAY HOSPITAL,23,4,0,0,4,2021-04-25 10:53:27
MAYO HOSPITAL,14,5,0,1,4,2021-04-25 08:44:34
NIRAMAYA,27,0,0,0,0,2021-04-25 09:24:04
HOPE SS HOSPITAL,20,5,5,0,0,2021-04-25 10:59:01
Smart City Hospital,40,0,0,0,0,2021-04-25 10:33:58
LBS,60,0,0,0,0,2021-04-25 11:05:38
Career Institute of Medical Sciences Bhopal,162,57,0,0,57,2021-04-25 10:20:36
Kasturba Hospital,70,0,0,0,0,2021-04-25 09:58:26
DH - BHOPAL J. P. Hospital,120,14,0,0,14,2021-04-25 08:46:32
LN JK HOSPITAL,480,0,0,0,0,2021-04-25 08:30:17
TRIPTI MULTI SPECIALTY &amp; TRAUMA CENTRE,20,0,0,0,0,2021-04-25 10:00:12
Mahaveer Institute of medical Science and  Research,250,167,0,0,167,2021-04-25 11:14:12
NATIONAL HOSPITAL,40,0,0,0,0,2021-04-25 10:25:32
SAHARA Hospital,19,0,0,0,0,2021-04-25 08:22:15
MILITARY HOSPITAL,82,0,0,0,0,2021-04-25 11:40:26
Nirmal Prem MUlti H.,29,0,0,0,0,2021-04-25 08:58:28
Om Hospital,35,13,0,0,13,2021-04-25 10:55:34
Peoples General Hospital Pvt. Ltd.,50,2,0,0,2,2021-04-25 08:51:51
BMHRC,35,3,0,0,3,2021-04-25 09:27:00
NAVJEEVAN,7,0,0,0,0,2021-04-25 10:31:01
Chaudhary Hospital,50,2,0,0,2,2021-04-25 09:15:22
People Medical College (Contract),300,29,0,29,0,2021-04-25 10:07:32
NEURON TRAMA CENTER &amp; MULTISPECIALITY HOSPITAL,26,1,0,0,1,2021-04-25 09:05:33
BHAGVATI GAUTAM HOSPITAL,11,1,0,0,1,2021-04-25 09:22:01
GAYTRI MULTI SPECIALITY HOSPITAL,24,0,0,0,0,2021-04-25 07:47:50
Care Multi Speciality,18,0,0,0,0,2021-04-25 10:56:28
RAILWAY HOSPITAL,50,0,0,0,0,2021-04-25 11:09:45
MOUNT HOSPITAL,30,2,0,0,2,2021-04-25 08:55:31
Ayushmaan Bharat Hospital,20,1,0,0,1,2021-04-25 08:13:07
V CARE CHILDREN HOSPITL,13,3,0,0,3,2021-04-25 08:09:04
AYUSH CCC,100,69,0,0,69,2021-04-25 11:21:55
Miracles Hospital,40,0,0,0,0,2021-04-25 09:09:48
Aadhar hospital,24,0,0,0,0,2021-04-25 10:02:04
Parul Hospital,20,0,0,0,0,2021-04-25 09:51:44
Divyanka Children Hospital,14,5,0,3,2,2021-04-25 10:21:16
Arera Trauma &amp; Critical Care Hospital,14,0,0,0,0,2021-04-25 10:54:25
Nagpur Neuro &amp; Trauma Hospital,30,12,0,0,12,2021-04-25 10:04:53
Sakshi Hospital,8,0,0,0,0,2021-04-25 09:01:31
CVS Apollo Hospital,22,10,5,5,0,2021-04-25 08:42:13
KAROND MULTI SPECIALTY HOSPITAL,37,28,7,5,16,2021-04-25 08:25:23
Lahoti Hospital &amp; Research Center,30,0,0,0,0,2021-04-25 10:48:49
AAROGYA NIDHI HOSPITAL,38,23,15,3,5,2021-04-25 09:14:52
ATAL MEMORIAL CANCER CARE HOSPITAL,15,0,0,0,0,2021-04-25 09:01:03
CHARAK HOSPITAL AND RESEARCH CENTRE A UNIT OF MRITYUNJAY HEALTH CARE PVT LTD,32,0,0,0,0,2021-04-25 10:06:46
PRABHATSHRI HOSPITAL,16,0,0,0,0,2021-04-25 10:52:21
GOODWILL HOSPITAL,36,15,0,12,3,2021-04-25 08:35:15
ASTHA HOSPITAL,23,0,0,0,0,2021-04-25 09:16:34
DULAR  HOSPITAL,10,0,0,0,0,2021-04-25 10:15:11
NEW ERA SUPERSPECIALITY,30,0,0,0,0,2021-04-25 10:16:43
ASHA NIKETAN  HOSPITAL,14,0,0,0,0,2021-04-25 10:49:42
Promise Children and General Hospital,6,0,0,0,0,2021-04-25 10:04:42
AYUSHMAN MULTICARE HOSPITAL BHANPUR,20,1,0,0,1,2021-04-25 11:29:02
MONA MULTISPECIALITY HOSPITAL,16,6,2,0,4,2021-04-25 08:47:13
JANKI HOSPITAL,15,0,0,0,0,2021-04-25 10:51:48
Rajabhoj Hospital,13,3,0,3,0,2021-04-25 08:52:21
A K Hospital,8,0,0,0,0,2021-04-25 09:11:17
Jeevandaan Multi Specialty Hospital,10,0,0,0,0,2021-04-25 08:38:34
Chirag Children Hospital,50,0,0,0,0,2021-04-25 09:09:02
RAMSAROJ  HOSPITAL,6,0,0,0,0,2021-04-25 10:23:35
Swastik hospital bhopal,30,16,6,10,0,2021-04-25 08:48:58
Nirvana Multispecialty Hospital,30,11,4,1,6,2021-04-25 10:33:04
SAI HOSPITAL &amp; TRAUMA CENTRE,20,1,0,1,0,2021-04-25 10:26:06
R A Stone Surgical Care Hospital,9,0,0,0,0,2021-04-25 07:57:01
Central Hospital,10,0,0,0,0,2021-04-25 08:24:43
Maheshwari Hospital,16,4,0,0,4,2021-04-25 08:11:23
Lotus Hospital,29,0,0,0,0,2021-04-25 09:14:23
