Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Carewell Multispeciality Hospital,45,0,0,0,0,2021-04-25 18:54:55
GMC Bhopal - DCH,600,21,0,0,21,2021-04-25 21:26:09
Chirayu Medical College,1100,0,0,0,0,2021-04-25 19:31:53
RKDF Medical College Hospital &amp; Research Centre(CONTRACT),225,0,0,0,0,2021-04-25 20:08:55
Narmada Trauma Centre,30,0,0,0,0,2021-04-25 20:46:00
Siddhanta red cross superspeciality,30,0,0,0,0,2021-04-25 18:15:52
All India Institute of Medical Sciences,500,0,0,0,0,2021-04-25 19:20:12
SILVER LINE,7,0,0,0,0,2021-04-25 19:22:57
BHOPAL MULTISPECIALITY HOSPITAL,13,3,1,0,2,2021-04-25 19:48:57
RAJDEEP Hospital,20,0,0,0,0,2021-04-25 19:39:12
ANANTSHREE HOSPITAL,85,7,0,0,7,2021-04-25 19:57:24
ABM Hospital,60,0,0,0,0,2021-04-25 19:12:35
ARADHNA MATERNITY &amp; KIDNEY,33,0,0,0,0,2021-04-25 18:19:17
"Bansal Hospital, Bhopal - DCH",240,12,0,0,12,2021-04-25 19:41:13
Rudransh Multi Speacility Hospital,19,4,3,1,0,2021-04-25 19:14:31
R R HOSPITAL,16,0,0,0,0,2021-04-25 18:07:03
PALIWAL,60,0,0,0,0,2021-04-25 18:02:20
Bhopal Care Hospital,34,0,0,0,0,2021-04-25 19:12:10
ROSHAN Hospital,30,0,0,0,0,2021-04-25 19:16:14
NAVODAYA_COVID_CENTRE,40,0,0,0,0,2021-04-25 21:10:42
Noble Multispecilaity Hospital,45,0,0,0,0,2021-04-25 18:05:42
LN MEDICAL COLLEGE (CONTRACT),550,0,0,0,0,2021-04-25 19:31:11
JAWAHARLAL Nehru Cancer  Hospital,20,0,0,0,0,2021-04-25 18:55:22
CITI HOSPITAL MP NAGAR,37,0,0,0,0,2021-04-25 18:59:58
Apex Hospital,30,0,0,0,0,2021-04-25 20:39:10
AKSHAY HOSPITAL,23,3,0,0,3,2021-04-25 19:59:52
MAYO HOSPITAL,14,5,0,1,4,2021-04-25 19:05:56
NIRAMAYA,27,0,0,0,0,2021-04-25 19:14:20
HOPE SS HOSPITAL,20,2,0,2,0,2021-04-25 18:36:41
Smart City Hospital,40,0,0,0,0,2021-04-25 20:10:57
LBS,60,0,0,0,0,2021-04-25 19:11:31
Career Institute of Medical Sciences Bhopal,162,52,0,0,52,2021-04-25 20:56:05
Kasturba Hospital,70,0,0,0,0,2021-04-25 18:17:19
DH - BHOPAL J. P. Hospital,120,14,0,2,12,2021-04-25 20:23:12
LN JK HOSPITAL,480,0,0,0,0,2021-04-25 18:35:11
TRIPTI MULTI SPECIALTY &amp; TRAUMA CENTRE,20,0,0,0,0,2021-04-25 18:50:32
Mahaveer Institute of medical Science and  Research,250,165,0,0,165,2021-04-25 19:33:19
NATIONAL HOSPITAL,40,0,0,0,0,2021-04-25 19:07:05
SAHARA Hospital,19,0,0,0,0,2021-04-25 20:04:03
MILITARY HOSPITAL,82,0,0,0,0,2021-04-25 18:17:51
Nirmal Prem MUlti H.,29,0,0,0,0,2021-04-25 18:34:05
Om Hospital,35,13,0,0,13,2021-04-25 18:30:17
Peoples General Hospital Pvt. Ltd.,50,2,0,0,2,2021-04-25 20:07:11
BMHRC,35,3,0,0,3,2021-04-25 19:40:06
NAVJEEVAN,7,0,0,0,0,2021-04-25 18:11:52
Chaudhary Hospital,50,7,0,0,7,2021-04-25 19:22:00
People Medical College (Contract),300,29,0,29,0,2021-04-25 19:21:21
NEURON TRAMA CENTER &amp; MULTISPECIALITY HOSPITAL,26,1,0,0,1,2021-04-25 19:42:11
BHAGVATI GAUTAM HOSPITAL,11,3,0,0,3,2021-04-25 19:16:21
GAYTRI MULTI SPECIALITY HOSPITAL,24,0,0,0,0,2021-04-25 20:35:41
Care Multi Speciality,18,0,0,0,0,2021-04-25 18:31:39
RAILWAY HOSPITAL,50,0,0,0,0,2021-04-25 18:10:45
MOUNT HOSPITAL,30,2,0,0,2,2021-04-25 19:55:01
Ayushmaan Bharat Hospital,20,1,0,0,1,2021-04-25 18:00:31
V CARE CHILDREN HOSPITL,13,2,0,0,2,2021-04-25 19:11:38
AYUSH CCC,100,68,0,0,68,2021-04-25 18:09:47
Miracles Hospital,40,0,0,0,0,2021-04-25 19:09:41
Aadhar hospital,24,0,0,0,0,2021-04-25 18:33:21
Parul Hospital,20,0,0,0,0,2021-04-25 18:46:21
Divyanka Children Hospital,11,4,0,0,4,2021-04-25 19:50:44
Arera Trauma &amp; Critical Care Hospital,14,0,0,0,0,2021-04-25 19:57:13
Nagpur Neuro &amp; Trauma Hospital,30,12,0,0,12,2021-04-25 19:35:06
Sakshi Hospital,8,0,0,0,0,2021-04-25 20:02:31
CVS Apollo Hospital,22,8,5,3,0,2021-04-25 18:51:32
KAROND MULTI SPECIALTY HOSPITAL,37,27,8,6,13,2021-04-25 18:53:06
Lahoti Hospital &amp; Research Center,30,2,2,0,0,2021-04-25 19:04:17
AAROGYA NIDHI HOSPITAL,38,20,9,3,8,2021-04-25 19:04:22
ATAL MEMORIAL CANCER CARE HOSPITAL,15,0,0,0,0,2021-04-25 19:25:31
CHARAK HOSPITAL AND RESEARCH CENTRE A UNIT OF MRITYUNJAY HEALTH CARE PVT LTD,32,0,0,0,0,2021-04-25 19:19:08
PRABHATSHRI HOSPITAL,16,0,0,0,0,2021-04-25 20:02:12
GOODWILL HOSPITAL,36,10,0,7,3,2021-04-25 20:12:10
ASTHA HOSPITAL,23,2,0,0,2,2021-04-25 19:46:49
DULAR  HOSPITAL,10,0,0,0,0,2021-04-25 19:02:40
NEW ERA SUPERSPECIALITY,30,0,0,0,0,2021-04-25 19:44:35
ASHA NIKETAN  HOSPITAL,14,0,0,0,0,2021-04-25 19:09:07
Promise Children and General Hospital,6,0,0,0,0,2021-04-25 18:31:27
AYUSHMAN MULTICARE HOSPITAL BHANPUR,20,5,0,3,2,2021-04-25 18:54:49
MONA MULTISPECIALITY HOSPITAL,16,6,0,0,6,2021-04-25 18:16:00
JANKI HOSPITAL,15,0,0,0,0,2021-04-25 19:05:18
Rajabhoj Hospital,13,6,3,3,0,2021-04-25 19:28:56
A K Hospital,8,0,0,0,0,2021-04-25 21:17:51
Jeevandaan Multi Specialty Hospital,10,1,1,0,0,2021-04-25 18:26:44
Chirag Children Hospital,50,0,0,0,0,2021-04-25 18:21:27
