Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Carewell Multispeciality Hospital,45,0,0,0,0,2021-04-23 13:15:13
GMC Bhopal - DCH,600,27,0,0,27,2021-04-23 15:39:24
Chirayu Medical College,1100,0,0,0,0,2021-04-23 15:32:19
RKDF Medical College Hospital &amp; Research Centre(CONTRACT),225,44,0,44,0,2021-04-23 15:44:36
Narmada Trauma Centre,30,0,0,0,0,2021-04-23 12:08:17
Siddhanta red cross superspeciality,30,0,0,0,0,2021-04-23 12:08:32
All India Institute of Medical Sciences,500,0,0,0,0,2021-04-23 11:14:41
SILVER LINE,7,0,0,0,0,2021-04-23 15:37:37
BHOPAL MULTISPECIALITY HOSPITAL,31,17,10,1,6,2021-04-23 13:54:44
RAJDEEP Hospital,8,0,0,0,0,2021-04-23 15:28:58
ANANTSHREE HOSPITAL,85,3,0,0,3,2021-04-23 15:10:39
ABM Hospital,60,0,0,0,0,2021-04-23 13:50:11
ARADHNA MATERNITY &amp; KIDNEY,33,0,0,0,0,2021-04-23 15:41:40
"Bansal Hospital, Bhopal - DCH",240,10,0,0,10,2021-04-23 10:30:02
Rudransh Multi Speacility Hospital,19,4,3,1,0,2021-04-23 15:36:08
R R HOSPITAL,16,2,0,0,2,2021-04-23 15:22:34
PALIWAL,60,0,0,0,0,2021-04-23 15:34:34
Bhopal Care Hospital,34,0,0,0,0,2021-04-23 13:51:19
ROSHAN Hospital,30,0,0,0,0,2021-04-23 15:35:12
NAVODAYA_COVID_CENTRE,40,0,0,0,0,2021-04-23 09:18:22
Noble Multispecilaity Hospital,45,0,0,0,0,2021-04-23 10:07:25
LN MEDICAL COLLEGE (CONTRACT),550,0,0,0,0,2021-04-23 09:28:40
JAWAHARLAL Nehru Cancer  Hospital,20,3,0,0,3,2021-04-23 15:06:57
CITI HOSPITAL,37,0,0,0,0,2021-04-23 15:17:04
Apex Hospital,30,0,0,0,0,2021-04-23 15:11:13
AKSHAY HOSPITAL,23,4,0,0,4,2021-04-23 15:07:45
MAYO HOSPITAL,14,4,0,0,4,2021-04-23 15:21:10
NIRAMAYA,27,0,0,0,0,2021-04-23 12:46:56
HOPE SS HOSPITAL,20,0,0,0,0,2021-04-23 14:18:40
Smart City Hospital,40,0,0,0,0,2021-04-23 14:24:29
LBS,60,0,0,0,0,2021-04-23 14:26:45
Career Institute of Medical Sciences Bhopal,162,27,0,0,27,2021-04-23 12:26:15
Kasturba Hospital,70,0,0,0,0,2021-04-23 09:32:12
DH - BHOPAL J. P. Hospital,120,12,0,0,12,2021-04-23 10:54:18
LN JK HOSPITAL,480,0,0,0,0,2021-04-23 10:56:57
TRIPTI MULTI SPECIALTY &amp; TRAUMA CENTRE,20,2,0,1,1,2021-04-23 14:57:22
Mahaveer Institute of medical Science and  Research,250,202,0,0,202,2021-04-23 10:06:53
NATIONAL HOSPITAL,40,0,0,0,0,2021-04-23 15:25:56
SAHARA Hospital,19,0,0,0,0,2021-04-23 15:31:33
MILITARY HOSPITAL,82,0,0,0,0,2021-04-23 15:40:04
Nirmal Prem MUlti H.,30,9,0,9,0,2021-04-23 10:09:53
Om Hospital,35,10,0,0,10,2021-04-23 15:23:50
Peoples General Hospital Pvt. Ltd.,50,0,0,0,0,2021-04-23 10:00:44
BMHRC,35,2,0,0,2,2021-04-23 15:44:07
NAVJEEVAN,7,0,0,0,0,2021-04-23 15:27:17
Chaudhary Hospital,20,2,2,0,0,2021-04-23 14:23:43
People Medical College (Contract),300,7,0,7,0,2021-04-23 09:13:22
NEURON TRAMA CENTER &amp; MULTISPECIALITY HOSPITAL,24,0,0,0,0,2021-04-23 15:27:57
BHAGVATI GAUTAM HOSPITAL,11,4,0,0,4,2021-04-23 15:30:05
GAYTRI MULTI SPECIALITY HOSPITAL,24,0,0,0,0,2021-04-23 15:12:03
Care Multi Speciality,18,0,0,0,0,2021-04-23 15:16:22
RAILWAY HOSPITAL,50,6,0,6,0,2021-04-23 14:18:06
MOUNT HOSPITAL,30,2,0,0,2,2021-04-23 14:05:32
Ayushmaan Bharat Hospital,20,3,0,3,0,2021-04-23 09:00:58
V CARE CHILDREN HOSPITL,13,0,0,0,0,2021-04-23 15:38:13
AYUSH CCC,100,82,0,0,82,2021-04-23 15:20:18
Miracles Hospital,40,0,0,0,0,2021-04-23 13:52:16
Aadhar hospital,24,0,0,0,0,2021-04-23 13:49:01
Parul Hospital,20,1,1,0,0,2021-04-23 14:17:25
Divyanka Children Hospital,11,1,0,0,1,2021-04-23 15:18:46
Arera Trauma &amp; Critical Care Hospital,14,0,0,0,0,2021-04-23 15:40:44
Nagpur Neuro &amp; Trauma Hospital,30,12,0,0,12,2021-04-23 15:43:55
Sakshi Hospital,8,0,0,0,0,2021-04-23 15:37:03
CVS Apollo Hospital,22,10,5,5,0,2021-04-23 15:32:58
KAROND MULTI SPECIALTY HOSPITAL,37,27,6,1,20,2021-04-23 13:37:42
Lahoti Hospital &amp; Research Center,30,0,0,0,0,2021-04-23 14:27:26
AAROGYA NIDHI HOSPITAL,38,23,15,3,5,2021-04-23 13:49:36
ATAL MEMORIAL CANCER CARE HOSPITAL,15,0,0,0,0,2021-04-23 09:50:31
CHARAK HOSPITAL AND RESEARCH CENTRE A UNIT OF MRITYUNJAY HEALTH CARE PVT LTD,32,1,0,0,1,2021-04-23 14:22:14
PRABHATSHRI HOSPITAL,16,0,0,0,0,2021-04-23 14:16:57
