Hospital,Total,Remaining,ICU,Oxygen,Isolation,Last Updated
Carewell Multispeciality Hospital,45,0,0,0,0,2021-04-23 18:06:56
GMC Bhopal - DCH,600,27,0,0,27,2021-04-23 15:39:24
Chirayu Medical College,1100,0,0,0,0,2021-04-23 17:01:26
RKDF Medical College Hospital &amp; Research Centre(CONTRACT),225,32,0,32,0,2021-04-23 18:41:11
Narmada Trauma Centre,30,0,0,0,0,2021-04-23 18:32:33
Siddhanta red cross superspeciality,30,0,0,0,0,2021-04-23 15:47:20
All India Institute of Medical Sciences,500,0,0,0,0,2021-04-23 18:06:32
SILVER LINE,7,0,0,0,0,2021-04-23 18:00:35
BHOPAL MULTISPECIALITY HOSPITAL,31,17,10,1,6,2021-04-23 13:54:44
RAJDEEP Hospital,8,0,0,0,0,2021-04-23 15:28:58
ANANTSHREE HOSPITAL,85,3,0,0,3,2021-04-23 15:10:39
ABM Hospital,60,0,0,0,0,2021-04-23 18:30:15
ARADHNA MATERNITY &amp; KIDNEY,33,0,0,0,0,2021-04-23 18:41:33
"Bansal Hospital, Bhopal - DCH",240,20,0,0,20,2021-04-23 18:35:41
Rudransh Multi Speacility Hospital,19,4,3,1,0,2021-04-23 15:36:08
R R HOSPITAL,16,2,0,0,2,2021-04-23 15:22:34
PALIWAL,60,0,0,0,0,2021-04-23 18:12:23
Bhopal Care Hospital,34,0,0,0,0,2021-04-23 13:51:19
ROSHAN Hospital,30,2,0,0,2,2021-04-23 16:54:26
NAVODAYA_COVID_CENTRE,40,0,0,0,0,2021-04-23 18:41:51
Noble Multispecilaity Hospital,45,0,0,0,0,2021-04-23 18:29:40
LN MEDICAL COLLEGE (CONTRACT),550,0,0,0,0,2021-04-23 15:53:17
JAWAHARLAL Nehru Cancer  Hospital,20,3,0,0,3,2021-04-23 18:38:30
CITI HOSPITAL,37,0,0,0,0,2021-04-23 18:04:31
Apex Hospital,30,0,0,0,0,2021-04-23 18:16:26
AKSHAY HOSPITAL,23,4,0,0,4,2021-04-23 15:07:45
MAYO HOSPITAL,14,4,0,0,4,2021-04-23 15:21:10
NIRAMAYA,27,0,0,0,0,2021-04-23 18:40:40
HOPE SS HOSPITAL,20,0,0,0,0,2021-04-23 14:18:40
Smart City Hospital,40,0,0,0,0,2021-04-23 15:54:29
LBS,60,0,0,0,0,2021-04-23 14:26:45
Career Institute of Medical Sciences Bhopal,162,30,0,0,30,2021-04-23 18:40:24
Kasturba Hospital,70,0,0,0,0,2021-04-23 16:43:51
DH - BHOPAL J. P. Hospital,120,12,0,0,12,2021-04-23 15:55:34
LN JK HOSPITAL,480,0,0,0,0,2021-04-23 18:01:46
TRIPTI MULTI SPECIALTY &amp; TRAUMA CENTRE,20,0,0,0,0,2021-04-23 18:04:19
Mahaveer Institute of medical Science and  Research,250,195,0,0,195,2021-04-23 17:59:55
NATIONAL HOSPITAL,40,0,0,0,0,2021-04-23 15:25:56
SAHARA Hospital,19,0,0,0,0,2021-04-23 15:31:33
MILITARY HOSPITAL,82,0,0,0,0,2021-04-23 18:43:42
Nirmal Prem MUlti H.,29,2,0,2,0,2021-04-23 18:27:27
Om Hospital,35,10,0,0,10,2021-04-23 15:23:50
Peoples General Hospital Pvt. Ltd.,50,0,0,0,0,2021-04-23 18:15:05
BMHRC,35,2,0,0,2,2021-04-23 17:22:43
NAVJEEVAN,7,0,0,0,0,2021-04-23 18:39:51
Chaudhary Hospital,20,2,2,0,0,2021-04-23 14:23:43
People Medical College (Contract),300,10,0,10,0,2021-04-23 18:43:21
NEURON TRAMA CENTER &amp; MULTISPECIALITY HOSPITAL,24,0,0,0,0,2021-04-23 15:27:57
BHAGVATI GAUTAM HOSPITAL,11,4,0,0,4,2021-04-23 15:30:05
GAYTRI MULTI SPECIALITY HOSPITAL,24,0,0,0,0,2021-04-23 15:12:03
Care Multi Speciality,18,0,0,0,0,2021-04-23 18:22:26
RAILWAY HOSPITAL,50,6,0,6,0,2021-04-23 14:18:06
